,inputDataSize,sparkDriverCores,sparkDriverMemory,sparkExecutorMemory,sparkReducerMaxSizeInFlight,sparkShuffleCompress,sparkShuffleFileBuffer,sparkShuffleSpillCompress,sparkIoCompressionCodec,sparkRddCompress,sparkMemoryFraction,sparkExecutorCores,sparkDefaultParallelism,sparkLocalityWait,sparkTaskCpus,sparkExecutorInstances,sparkMemoryStorageFraction,duration
0,4,4,1,1,48,0,64,0,0,0,0.6,4,16,3,1,4,0.3,1667.0
1,2,4,1,2,48,1,64,0,0,0,0.6,2,256,3,1,4,0.5,3.0
2,1,1,1,8,48,1,64,0,0,0,0.6,1,128,3,1,4,0.3,6.0
3,4,2,4,8,48,1,64,0,0,0,0.6,1,16,3,1,4,0.5,3.0
4,4,4,2,2,48,0,64,0,0,0,0.6,1,64,3,1,8,0.3,3.0
5,8,2,2,1,48,0,64,0,0,0,0.6,2,128,3,1,8,0.5,7.0
6,1,1,2,4,48,0,64,0,0,0,0.6,4,64,3,1,2,0.3,1.0
7,8,4,2,4,48,0,64,0,0,0,0.6,1,256,3,1,2,0.3,11.0
8,1,1,2,1,48,1,64,0,0,0,0.6,4,16,3,1,8,0.3,2.0
9,2,2,1,1,48,1,64,0,0,0,0.6,1,128,3,1,8,0.3,3.0
10,2,4,1,2,48,0,64,0,0,0,0.6,2,128,3,1,8,0.3,5.0
11,4,4,2,2,48,1,64,0,0,0,0.6,2,256,3,1,8,0.5,12.0
12,1,4,4,1,48,1,64,0,0,0,0.6,1,256,3,1,2,0.3,8.0
13,1,1,4,1,48,0,64,0,0,0,0.6,2,64,3,1,2,0.3,3.0
14,2,1,4,4,48,1,64,0,0,0,0.6,1,256,3,1,8,0.3,2.0
15,2,1,2,4,48,0,64,0,0,0,0.6,4,256,3,1,2,0.5,2.0
16,2,4,4,8,48,1,64,0,0,0,0.6,2,256,3,1,2,0.3,6.0
17,8,4,1,4,48,0,64,0,0,0,0.6,4,64,3,1,8,0.5,1667.0
18,2,2,1,8,48,0,64,0,0,0,0.6,4,64,3,1,2,0.5,6.0
19,4,1,2,8,48,0,64,0,0,0,0.6,2,16,3,1,4,0.5,2.0
20,8,2,1,1,48,1,64,0,0,0,0.6,2,256,3,1,4,0.5,1667.0
21,2,2,2,8,48,0,64,0,0,0,0.6,1,128,3,1,8,0.5,5.0
22,4,2,1,4,48,1,64,0,0,0,0.6,2,256,3,1,8,0.5,1667.0
23,1,2,1,2,48,0,64,0,0,0,0.6,1,16,3,1,2,0.3,3.0
24,2,4,1,4,48,1,64,0,0,0,0.6,4,256,3,1,4,0.5,2.0
25,4,1,1,1,48,1,64,0,0,0,0.6,4,128,3,1,4,0.3,1667.0
26,1,1,1,1,48,1,64,0,0,0,0.6,1,256,3,1,8,0.5,6.0
27,8,1,1,8,48,1,64,0,0,0,0.6,2,256,3,1,2,0.5,1667.0
28,2,1,1,8,48,1,64,0,0,0,0.6,2,16,3,1,8,0.3,3.0
29,2,4,2,2,48,1,64,0,0,0,0.6,2,256,3,1,8,0.5,3.0
30,8,1,2,8,48,0,64,0,0,0,0.6,2,64,3,1,4,0.5,4.0
31,2,2,2,4,48,1,64,0,0,0,0.6,4,64,3,1,2,0.5,2.0
32,1,1,2,1,48,0,64,0,0,0,0.6,4,256,3,1,2,0.3,3.0
33,1,1,1,4,48,0,64,0,0,0,0.6,1,16,3,1,2,0.3,2.0
34,1,4,2,8,48,1,64,0,0,0,0.6,2,256,3,1,8,0.3,2.0
35,4,2,4,8,48,0,64,0,0,0,0.6,1,64,3,1,2,0.3,8.0
36,1,4,2,2,48,0,64,0,0,0,0.6,2,64,3,1,2,0.5,3.0
37,1,1,4,1,48,0,64,0,0,0,0.6,2,128,3,1,2,0.5,2.0
38,1,2,4,1,48,1,64,0,0,0,0.6,4,128,3,1,4,0.5,2.0
39,4,2,4,8,48,1,64,0,0,0,0.6,4,64,3,1,2,0.3,3.0
40,1,1,1,1,48,1,64,0,0,0,0.6,4,128,3,1,4,0.3,1.0
41,8,2,4,1,48,1,64,0,0,0,0.6,1,64,3,1,4,0.3,5.0
42,4,4,2,1,48,1,64,0,0,0,0.6,2,64,3,1,4,0.3,2.0
43,8,4,2,2,48,1,64,0,0,0,0.6,1,128,3,1,4,0.5,5.0
44,8,2,4,2,48,0,64,0,0,0,0.6,4,64,3,1,2,0.3,9.0
45,4,1,1,1,48,1,64,0,0,0,0.6,4,256,3,1,2,0.5,1667.0
46,1,2,4,4,48,1,64,0,0,0,0.6,2,256,3,1,8,0.3,3.0
47,4,2,4,8,48,0,64,0,0,0,0.6,4,128,3,1,2,0.5,2.0
48,2,2,1,1,48,1,64,0,0,0,0.6,4,64,3,1,8,0.5,6.0
49,8,1,4,2,48,1,64,0,0,0,0.6,4,64,3,1,8,0.3,4.0
50,8,4,1,1,48,0,64,0,0,0,0.6,2,128,3,1,2,0.3,1667.0
51,8,1,4,4,48,0,64,0,0,0,0.6,2,256,3,1,4,0.3,7.0
52,2,2,2,8,48,1,64,0,0,0,0.6,1,128,3,1,4,0.5,3.0
53,4,2,4,2,48,0,64,0,0,0,0.6,4,16,3,1,4,0.5,3.0
54,4,1,1,4,48,0,64,0,0,0,0.6,4,16,3,1,8,0.3,1667.0
55,8,1,4,1,48,0,64,0,0,0,0.6,4,16,3,1,4,0.5,1667.0
56,8,4,4,2,48,1,64,0,0,0,0.6,4,16,3,1,8,0.5,4.0
57,2,2,4,2,48,1,64,0,0,0,0.6,1,128,3,1,8,0.5,2.0
58,8,1,4,2,48,1,64,0,0,0,0.6,2,16,3,1,4,0.5,5.0
59,1,4,4,1,48,1,64,0,0,0,0.6,4,16,3,1,2,0.5,3.0
60,4,4,2,1,48,1,64,0,0,0,0.6,1,16,3,1,8,0.5,8.0
61,2,4,4,1,48,0,64,0,0,0,0.6,1,64,3,1,4,0.3,2.0
62,2,1,1,4,48,0,64,0,0,0,0.6,4,16,3,1,8,0.3,3.0
63,2,1,4,2,48,1,64,0,0,0,0.6,2,16,3,1,4,0.5,2.0
64,8,2,4,2,48,0,64,0,0,0,0.6,4,128,3,1,4,0.5,5.0
65,8,2,2,1,48,0,64,0,0,0,0.6,2,256,3,1,8,0.5,4.0
66,8,1,1,4,48,0,64,0,0,0,0.6,1,256,3,1,8,0.5,1667.0
67,8,4,4,1,48,1,64,0,0,0,0.6,4,16,3,1,2,0.5,6.0
68,1,1,2,8,48,1,64,0,0,0,0.6,2,256,3,1,8,0.5,2.0
69,4,2,1,1,48,0,64,0,0,0,0.6,2,16,3,1,8,0.3,1667.0
70,8,4,2,2,48,0,64,0,0,0,0.6,2,16,3,1,2,0.5,5.0
71,8,1,2,1,48,0,64,0,0,0,0.6,4,256,3,1,2,0.3,5.0
72,8,1,1,8,48,1,64,0,0,0,0.6,2,16,3,1,2,0.3,1667.0
73,4,2,2,1,48,0,64,0,0,0,0.6,2,64,3,1,8,0.5,4.0
74,8,1,4,2,48,1,64,0,0,0,0.6,2,256,3,1,4,0.3,4.0
75,1,2,1,1,48,0,64,0,0,0,0.6,1,256,3,1,2,0.5,3.0
76,1,1,1,4,48,0,64,0,0,0,0.6,2,128,3,1,2,0.3,2.0
77,8,4,4,2,48,0,64,0,0,0,0.6,1,256,3,1,2,0.3,15.0
